runId,timestamp,experimentName,retrievalMode,gitCommit,hitAt1,hitAt5,recallAt5,mrr,ndcgAt5,noResultAccuracy,p95LatencyMs,promoted
20260710-140744_c5ad4ce_baseline-vector-search,2026-07-10T14:07:44.748Z,baseline-vector-search,baseline,c5ad4ce,0.52,0.62,0.4467,0.5617,0.4572,0,2.4749,true
20260710-140808_c5ad4ce_baseline-vector-search,2026-07-10T14:08:08.017Z,baseline-vector-search,baseline,c5ad4ce,0.52,0.62,0.4467,0.5617,0.4572,0,1.3872,false
20260710-140808_c5ad4ce_baseline-vector-search,2026-07-10T14:08:08.970Z,baseline-vector-search,baseline,c5ad4ce,0.52,0.62,0.4467,0.5617,0.4572,0,1.3637,false
20260710-140819166_c5ad4ce_baseline-vector-search,2026-07-10T14:08:19.167Z,baseline-vector-search,baseline,c5ad4ce,0.52,0.62,0.4467,0.5617,0.4572,0,1.3281,false
20260710-140820223_c5ad4ce_baseline-vector-search,2026-07-10T14:08:20.223Z,baseline-vector-search,baseline,c5ad4ce,0.52,0.62,0.4467,0.5617,0.4572,0,1.1193,false
20260710-140839367_c5ad4ce_baseline-vector-search,2026-07-10T14:08:39.367Z,baseline-vector-search,baseline,c5ad4ce,0.52,0.62,0.4467,0.5617,0.4572,0,1.5018,false
20260710-140840695_c5ad4ce_baseline-vector-search,2026-07-10T14:08:40.695Z,baseline-vector-search,baseline,c5ad4ce,0.52,0.62,0.4467,0.5617,0.4572,0,1.1131,false
20260710-141225714_b5f11c2_baseline-legacy-chunking,2026-07-10T14:12:25.716Z,baseline-legacy-chunking,baseline,b5f11c2,0.52,0.62,0.4467,0.5617,0.4572,0,1.2178,false
20260710-141242579_b5f11c2_baseline-legacy-chunking,2026-07-10T14:12:42.581Z,baseline-legacy-chunking,baseline,b5f11c2,0.52,0.62,0.4467,0.5617,0.4572,0,1.4738,false
20260710-141243435_b5f11c2_structure-aware-only,2026-07-10T14:12:43.436Z,structure-aware-only,baseline,b5f11c2,0.56,0.78,0.5267,0.6457,0.5219,0,1.5739,true
20260710-141244280_b5f11c2_structure-aware-contextual,2026-07-10T14:12:44.281Z,structure-aware-contextual,baseline,b5f11c2,0.54,0.74,0.4767,0.6267,0.4859,0,5.0544,false
20260710-141306534_b5f11c2_baseline-legacy-chunking,2026-07-10T14:13:06.535Z,baseline-legacy-chunking,baseline,b5f11c2,0.52,0.62,0.4467,0.5617,0.4572,0,1.5308,false
20260710-141307526_b5f11c2_structure-aware-only,2026-07-10T14:13:07.527Z,structure-aware-only,baseline,b5f11c2,0.56,0.78,0.5267,0.6457,0.5219,0,1.7649,false
20260710-141308621_b5f11c2_structure-aware-contextual,2026-07-10T14:13:08.621Z,structure-aware-contextual,baseline,b5f11c2,0.54,0.74,0.4767,0.6267,0.4859,0,1.6106,false
20260710-141322262_b5f11c2_baseline-legacy-chunking,2026-07-10T14:13:22.263Z,baseline-legacy-chunking,baseline,b5f11c2,0.52,0.62,0.4467,0.5617,0.4572,0,1.3445,false
20260710-141323201_b5f11c2_structure-aware-only,2026-07-10T14:13:23.203Z,structure-aware-only,baseline,b5f11c2,0.56,0.78,0.5267,0.6457,0.5219,0,1.4387,false
20260710-141324157_b5f11c2_structure-aware-contextual,2026-07-10T14:13:24.157Z,structure-aware-contextual,baseline,b5f11c2,0.54,0.74,0.4767,0.6267,0.4859,0,1.2366,false
20260710-141332562_b5f11c2_baseline-vector-search,2026-07-10T14:13:32.564Z,baseline-vector-search,baseline,b5f11c2,0.56,0.78,0.5267,0.6457,0.5219,0,1.7542,false
20260710-142003139_174e3f9_hybrid-stage3,2026-07-10T14:20:35.148Z,vector-only-structure-aware,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,0.7781,false
20260710-142003139_174e3f9_hybrid-stage3,2026-07-10T14:20:35.148Z,lexical-only,lexical,174e3f9,0.64,0.76,0.5133,0.6917,0.529,0.4,80.068,false
20260710-142003139_174e3f9_hybrid-stage3,2026-07-10T14:20:35.148Z,hybrid-rrf,hybrid-raw,174e3f9,0.62,0.8,0.55,0.6967,0.5559,1,86.1785,false
20260710-142003139_174e3f9_hybrid-stage3,2026-07-10T14:20:35.148Z,hybrid-diversify-max1,hybrid-raw,174e3f9,0.62,0.86,0.6767,0.7167,0.6383,1,78.5455,false
20260710-142003139_174e3f9_hybrid-stage3,2026-07-10T14:20:35.148Z,hybrid-diversify-max2,hybrid-raw,174e3f9,0.62,0.86,0.6233,0.7167,0.6093,1,78.6369,false
20260710-142003139_174e3f9_hybrid-stage3,2026-07-10T14:20:35.148Z,hybrid-contextual,hybrid-raw,174e3f9,0.64,0.8,0.5133,0.705,0.534,1,89.9838,false
20260710-142003139_174e3f9_hybrid-stage3,2026-07-10T14:20:35.148Z,hybrid-contextual-diversify-max2,hybrid-raw,174e3f9,0.64,0.88,0.6133,0.7333,0.6034,1,90.7718,false
20260710-142041213_174e3f9_hybrid-stage3,2026-07-10T14:21:12.686Z,vector-only-structure-aware,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,0.5425,false
20260710-142041213_174e3f9_hybrid-stage3,2026-07-10T14:21:12.686Z,lexical-only,lexical,174e3f9,0.64,0.76,0.5133,0.6917,0.529,0.4,77.1795,false
20260710-142041213_174e3f9_hybrid-stage3,2026-07-10T14:21:12.686Z,hybrid-rrf,hybrid-raw,174e3f9,0.62,0.8,0.55,0.6967,0.5559,1,83.6283,false
20260710-142041213_174e3f9_hybrid-stage3,2026-07-10T14:21:12.686Z,hybrid-diversify-max1,hybrid-raw,174e3f9,0.62,0.86,0.6767,0.7167,0.6383,1,78.3182,false
20260710-142041213_174e3f9_hybrid-stage3,2026-07-10T14:21:12.686Z,hybrid-diversify-max2,hybrid-raw,174e3f9,0.62,0.86,0.6233,0.7167,0.6093,1,81.216,false
20260710-142041213_174e3f9_hybrid-stage3,2026-07-10T14:21:12.686Z,hybrid-contextual,hybrid-raw,174e3f9,0.64,0.8,0.5133,0.705,0.534,1,90.0651,false
20260710-142041213_174e3f9_hybrid-stage3,2026-07-10T14:21:12.686Z,hybrid-contextual-diversify-max2,hybrid-raw,174e3f9,0.64,0.88,0.6133,0.7333,0.6034,1,88.8513,false
20260710-142201864_174e3f9_baseline-vector-search,2026-07-10T14:22:01.866Z,baseline-vector-search,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.3847,false
20260710-142206793_174e3f9_stage3-repro-vector,2026-07-10T14:22:06.795Z,stage3-repro-vector,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.4053,false
20260710-142207222_174e3f9_stage3-repro-vector,2026-07-10T14:22:07.224Z,stage3-repro-vector,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.2576,false
20260710-142219414_174e3f9_baseline-vector-search,2026-07-10T14:22:19.416Z,baseline-vector-search,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,2.86,false
20260710-142424294_174e3f9_baseline-vector-search,2026-07-10T14:24:24.296Z,baseline-vector-search,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.821,false
20260710-142429249_174e3f9_baseline-vector-search,2026-07-10T14:24:29.251Z,baseline-vector-search,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.4642,false
20260710-142440738_174e3f9_baseline-vector-search,2026-07-10T14:24:40.740Z,baseline-vector-search,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.4959,false
20260710-142455426_174e3f9_baseline-vector-search,2026-07-10T14:24:55.427Z,baseline-vector-search,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.4243,false
20260710-142522317_174e3f9_baseline-vector-search,2026-07-10T14:25:22.319Z,baseline-vector-search,baseline,174e3f9,0.56,0.78,0.5267,0.6457,0.5219,0,1.787,false
20260710-142718274_44f3412_baseline-vector-search,2026-07-10T14:27:18.276Z,baseline-vector-search,baseline,44f3412,0.56,0.78,0.5267,0.6457,0.5219,0,1.644,false
20260710-151709249_8fb6dbd_baseline-vector-search,2026-07-10T15:17:09.249Z,baseline-vector-search,baseline,8fb6dbd,0.56,0.78,0.5267,0.6457,0.5219,0,1.7491,false
